ATM_Name,TransactionDate,NoOfWithdrawals,TotalAmtWithdrawn,Weekday,WorkingDay,BranchID
Kingsley Street ATM,2011-01-14,91,373000,Friday,W,
Georgia Street ATM,2011-01-15,24,115900,Saturday,H,
Main Street ATM,2011-01-15,97,200500,Saturday,H,
Genesee Street ATM,2011-01-15,52,163300,Saturday,H,
Hollywood Aveneue ATM,2011-01-15,119,321400,Saturday,H,
Kingsley Street ATM,2011-01-15,53,206800,Saturday,H,
Georgia Street ATM,2011-01-16,17,55100,Sunday,H,
Main Street ATM,2011-01-16,77,205300,Sunday,H,
Genesee Street ATM,2011-01-16,42,154100,Sunday,H,
Hollywood Aveneue ATM,2011-01-16,99,274100,Sunday,H,
Kingsley Street ATM,2011-01-16,36,95200,Sunday,H,
Georgia Street ATM,2011-01-17,37,129800,Monday,H,
Main Street ATM,2011-01-17,72,221900,Monday,H,
Genesee Street ATM,2011-01-17,40,100000,Monday,H,
Hollywood Aveneue ATM,2011-01-17,188,524800,Monday,H,
Kingsley Street ATM,2011-01-17,46,126800,Monday,H,
Georgia Street ATM,2011-01-18,29,163600,Tuesday,W,
Main Street ATM,2011-01-18,123,405200,Tuesday,W,
Genesee Street ATM,2011-01-18,86,343100,Tuesday,W,
Hollywood Aveneue ATM,2011-01-18,225,831200,Tuesday,W,
Kingsley Street ATM,2011-01-18,82,380000,Tuesday,W,
Georgia Street ATM,2011-01-19,33,79500,Wednesday,W,
Main Street ATM,2011-01-19,152,537700,Wednesday,W,
Genesee Street ATM,2011-01-19,106,428900,Wednesday,W,
Hollywood Aveneue ATM,2011-01-19,183,649200,Wednesday,W,
Kingsley Street ATM,2011-01-19,124,446800,Wednesday,W,
Georgia Street ATM,2011-01-20,25,81700,Thursday,W,
Main Street ATM,2011-01-20,163,565500,Thursday,W,
Genesee Street ATM,2011-01-20,89,298000,Thursday,W,
Hollywood Aveneue ATM,2011-01-20,120,445900,Thursday,W,
Kingsley Street ATM,2011-01-20,140,571300,Thursday,W,
Georgia Street ATM,2011-01-21,21,86600,Friday,W,
Main Street ATM,2011-01-21,139,450400,Friday,W,
Genesee Street ATM,2011-01-21,67,350000,Friday,W,
Hollywood Aveneue ATM,2011-01-21,193,581500,Friday,W,
Kingsley Street ATM,2011-01-21,90,386800,Friday,W,
Georgia Street ATM,2011-01-22,25,85400,Saturday,H,
Main Street ATM,2011-01-22,151,455600,Saturday,H,
Genesee Street ATM,2011-01-22,93,363600,Saturday,H,
Hollywood Aveneue ATM,2011-01-22,196,683300,Saturday,H,
Kingsley Street ATM,2011-01-22,95,465300,Saturday,H,
Georgia Street ATM,2011-01-23,18,36800,Sunday,H,
Main Street ATM,2011-01-23,134,352100,Sunday,H,
Genesee Street ATM,2011-01-23,87,288500,Sunday,H,
Hollywood Aveneue ATM,2011-01-23,110,290000,Sunday,H,
Kingsley Street ATM,2011-01-23,45,212500,Sunday,H,
Georgia Street ATM,2011-01-24,26,103900,Monday,W,
Main Street ATM,2011-01-24,153,498900,Monday,W,
Genesee Street ATM,2011-01-24,85,247800,Monday,W,
Hollywood Aveneue ATM,2011-01-24,207,800500,Monday,W,
Kingsley Street ATM,2011-01-24,100,410800,Monday,W,
Georgia Street ATM,2011-01-25,39,139900,Tuesday,W,
Main Street ATM,2011-01-25,140,439300,Tuesday,W,
Genesee Street ATM,2011-01-25,83,363100,Tuesday,W,
Hollywood Aveneue ATM,2011-01-25,178,617000,Tuesday,W,
Kingsley Street ATM,2011-01-25,89,325900,Tuesday,W,
Georgia Street ATM,2011-01-26,18,40500,Wednesday,H,
Main Street ATM,2011-01-26,134,255400,Wednesday,H,
Genesee Street ATM,2011-01-26,91,248200,Wednesday,H,
Hollywood Aveneue ATM,2011-01-26,157,485900,Wednesday,H,
Kingsley Street ATM,2011-01-26,69,258400,Wednesday,H,
Georgia Street ATM,2011-01-27,26,83300,Thursday,W,
Main Street ATM,2011-01-27,147,461500,Thursday,W,
Genesee Street ATM,2011-01-27,93,402100,Thursday,W,
Hollywood Aveneue ATM,2011-01-27,181,722900,Thursday,W,
Kingsley Street ATM,2011-01-27,96,336300,Thursday,W,
Georgia Street ATM,2011-01-28,22,71300,Friday,W,
Main Street ATM,2011-01-28,126,336300,Friday,W,
Genesee Street ATM,2011-01-28,77,191800,Friday,W,
Hollywood Aveneue ATM,2011-01-28,193,874200,Friday,W,
Kingsley Street ATM,2011-01-28,77,254500,Friday,W,
Georgia Street ATM,2011-01-29,53,163500,Saturday,H,
Main Street ATM,2011-01-29,124,428000,Saturday,H,
Genesee Street ATM,2011-01-29,82,384600,Saturday,H,
Hollywood Aveneue ATM,2011-01-29,269,1082200,Saturday,H,
Kingsley Street ATM,2011-01-29,87,463400,Saturday,H,
Georgia Street ATM,2011-01-30,18,41100,Sunday,H,
Main Street ATM,2011-01-30,137,296400,Sunday,H,
Genesee Street ATM,2011-01-30,58,194400,Sunday,H,
Hollywood Aveneue ATM,2011-01-30,143,517100,Sunday,H,
Kingsley Street ATM,2011-01-30,75,277200,Sunday,H,
Georgia Street ATM,2011-01-31,23,70800,Monday,W,
Main Street ATM,2011-01-31,142,515100,Monday,W,
Genesee Street ATM,2011-01-31,96,526000,Monday,W,
Hollywood Aveneue ATM,2011-01-31,302,1310300,Monday,W,
Kingsley Street ATM,2011-01-31,91,369100,Monday,W,
Georgia Street ATM,2011-02-01,36,161700,Tuesday,W,
Main Street ATM,2011-02-01,164,631800,Tuesday,W,
Genesee Street ATM,2011-02-01,105,578100,Tuesday,W,
Hollywood Aveneue ATM,2011-02-01,221,958300,Tuesday,W,
Kingsley Street ATM,2011-02-01,97,432000,Tuesday,W,
Georgia Street ATM,2011-02-02,19,79200,Wednesday,W,
Main Street ATM,2011-02-02,164,714900,Wednesday,W,
Genesee Street ATM,2011-02-02,104,472000,Wednesday,W,
Hollywood Aveneue ATM,2011-02-02,271,1159900,Wednesday,W,
Kingsley Street ATM,2011-02-02,133,714600,Wednesday,W,
Georgia Street ATM,2011-02-03,40,167800,Thursday,W,
Main Street ATM,2011-02-03,170,593000,Thursday,W,
Genesee Street ATM,2011-02-03,114,467800,Thursday,W,
Hollywood Aveneue ATM,2011-02-03,198,823400,Thursday,W,
Kingsley Street ATM,2011-02-03,80,359800,Thursday,W,
Georgia Street ATM,2011-02-04,28,112700,Friday,W,
Main Street ATM,2011-02-04,185,615700,Friday,W,
Genesee Street ATM,2011-02-04,114,534800,Friday,W,
Hollywood Aveneue ATM,2011-02-04,221,919100,Friday,W,
Kingsley Street ATM,2011-02-04,78,382500,Friday,W,
Georgia Street ATM,2011-02-05,23,144000,Saturday,H,
Main Street ATM,2011-02-05,249,1007100,Saturday,H,
Genesee Street ATM,2011-02-05,110,520200,Saturday,H,
Hollywood Aveneue ATM,2011-02-05,203,767500,Saturday,H,
Kingsley Street ATM,2011-02-05,100,429800,Saturday,H,
Georgia Street ATM,2011-02-06,32,110400,Sunday,H,
Main Street ATM,2011-02-06,175,499900,Sunday,H,
Genesee Street ATM,2011-02-06,128,478900,Sunday,H,
Hollywood Aveneue ATM,2011-02-06,159,387400,Sunday,H,
Kingsley Street ATM,2011-02-06,92,292300,Sunday,H,
Georgia Street ATM,2011-02-07,28,80300,Monday,W,
Main Street ATM,2011-02-07,176,622800,Monday,W,
Genesee Street ATM,2011-02-07,110,440400,Monday,W,
Hollywood Aveneue ATM,2011-02-07,223,849600,Monday,W,
Kingsley Street ATM,2011-02-07,110,430000,Monday,W,
Georgia Street ATM,2011-02-08,42,175300,Tuesday,W,
Main Street ATM,2011-02-08,198,620200,Tuesday,W,
Genesee Street ATM,2011-02-08,121,609200,Tuesday,W,
Hollywood Aveneue ATM,2011-02-08,209,798000,Tuesday,W,
Kingsley Street ATM,2011-02-08,93,343000,Tuesday,W,
Georgia Street ATM,2011-02-09,32,94600,Wednesday,W,
Main Street ATM,2011-02-09,176,649100,Wednesday,W,
Genesee Street ATM,2011-02-09,108,507800,Wednesday,W,
Hollywood Aveneue ATM,2011-02-09,225,1003900,Wednesday,W,
Kingsley Street ATM,2011-02-09,81,381600,Wednesday,W,
Georgia Street ATM,2011-02-10,31,78100,Thursday,W,
Main Street ATM,2011-02-10,175,508500,Thursday,W,
Genesee Street ATM,2011-02-10,107,456800,Thursday,W,
Hollywood Aveneue ATM,2011-02-10,198,767000,Thursday,W,
Kingsley Street ATM,2011-02-10,91,348300,Thursday,W,
Georgia Street ATM,2011-02-11,31,107400,Friday,W,
Main Street ATM,2011-02-11,168,462500,Friday,W,
Genesee Street ATM,2011-02-11,80,406100,Friday,W,
Hollywood Aveneue ATM,2011-02-11,177,615500,Friday,W,
Kingsley Street ATM,2011-02-11,78,413300,Friday,W,
Georgia Street ATM,2011-02-12,45,143200,Saturday,H,
Main Street ATM,2011-02-12,172,357100,Saturday,H,
Genesee Street ATM,2011-02-12,116,429200,Saturday,H,
Hollywood Aveneue ATM,2011-02-12,227,802500,Saturday,H,
Kingsley Street ATM,2011-02-12,99,452900,Saturday,H,
Georgia Street ATM,2011-02-13,28,74900,Sunday,H,
Main Street ATM,2011-02-13,145,359400,Sunday,H,
Genesee Street ATM,2011-02-13,91,288100,Sunday,H,
Hollywood Aveneue ATM,2011-02-13,137,370700,Sunday,H,
Kingsley Street ATM,2011-02-13,40,119000,Sunday,H,
Georgia Street ATM,2011-02-14,33,117000,Monday,W,
Main Street ATM,2011-02-14,153,413100,Monday,W,
Genesee Street ATM,2011-02-14,86,365800,Monday,W,
Hollywood Aveneue ATM,2011-02-14,207,791300,Monday,W,
Kingsley Street ATM,2011-02-14,38,173100,Monday,W,
Georgia Street ATM,2011-02-15,34,123700,Tuesday,W,
Main Street ATM,2011-02-15,154,499900,Tuesday,W,
Genesee Street ATM,2011-02-15,98,362000,Tuesday,W,
Hollywood Aveneue ATM,2011-02-15,208,890100,Tuesday,W,
Kingsley Street ATM,2011-02-15,93,357700,Tuesday,W,
Georgia Street ATM,2011-02-16,14,23700,Wednesday,H,
Main Street ATM,2011-02-16,131,317300,Wednesday,H,
Genesee Street ATM,2011-02-16,65,277900,Wednesday,H,
Hollywood Aveneue ATM,2011-02-16,162,482200,Wednesday,H,
Kingsley Street ATM,2011-02-16,55,147100,Wednesday,H,
Georgia Street ATM,2011-02-17,26,99700,Thursday,W,
Main Street ATM,2011-02-17,160,549900,Thursday,W,
Genesee Street ATM,2011-02-17,77,292300,Thursday,W,
Hollywood Aveneue ATM,2011-02-17,230,998300,Thursday,W,
Kingsley Street ATM,2011-02-17,77,292600,Thursday,W,
Georgia Street ATM,2011-02-18,35,141800,Friday,W,
Main Street ATM,2011-02-18,167,484200,Friday,W,
Genesee Street ATM,2011-02-18,64,242200,Friday,W,
Hollywood Aveneue ATM,2011-02-18,159,543000,Friday,W,
Kingsley Street ATM,2011-02-18,66,200600,Friday,W,
Georgia Street ATM,2011-02-19,15,54300,Saturday,H,
Main Street ATM,2011-02-19,185,441400,Saturday,H,
Genesee Street ATM,2011-02-19,113,454200,Saturday,H,
Hollywood Aveneue ATM,2011-02-19,198,858300,Saturday,H,
Kingsley Street ATM,2011-02-19,74,399800,Saturday,H,
Georgia Street ATM,2011-02-20,20,56000,Sunday,H,
Main Street ATM,2011-02-20,165,407300,Sunday,H,
Genesee Street ATM,2011-02-20,101,347800,Sunday,H,
Hollywood Aveneue ATM,2011-02-20,132,302100,Sunday,H,
Kingsley Street ATM,2011-02-20,62,169400,Sunday,H,
Georgia Street ATM,2011-02-21,23,64200,Monday,W,
Main Street ATM,2011-02-21,158,456400,Monday,W,
Genesee Street ATM,2011-02-21,72,285600,Monday,W,
Hollywood Aveneue ATM,2011-02-21,176,659200,Monday,W,
Kingsley Street ATM,2011-02-21,61,143200,Monday,W,
Georgia Street ATM,2011-02-22,35,142500,Tuesday,W,
Main Street ATM,2011-02-22,145,479200,Tuesday,W,
Genesee Street ATM,2011-02-22,81,350400,Tuesday,W,
Hollywood Aveneue ATM,2011-02-22,170,624300,Tuesday,W,
Kingsley Street ATM,2011-02-22,100,370800,Tuesday,W,
Georgia Street ATM,2011-02-23,31,91900,Wednesday,W,
Main Street ATM,2011-02-23,142,379700,Wednesday,W,
Genesee Street ATM,2011-02-23,84,434100,Wednesday,W,
Hollywood Aveneue ATM,2011-02-23,179,704500,Wednesday,W,
Kingsley Street ATM,2011-02-23,63,265700,Wednesday,W,
Georgia Street ATM,2011-02-24,30,74700,Thursday,W,
Main Street ATM,2011-02-24,127,391600,Thursday,W,
Genesee Street ATM,2011-02-24,67,205700,Thursday,W,
Hollywood Aveneue ATM,2011-02-24,173,647400,Thursday,W,
Kingsley Street ATM,2011-02-24,76,255600,Thursday,W,
Georgia Street ATM,2011-02-25,22,33700,Friday,W,
Main Street ATM,2011-02-25,132,339300,Friday,W,
Genesee Street ATM,2011-02-25,85,291300,Friday,W,
Hollywood Aveneue ATM,2011-02-25,178,552700,Friday,W,
Kingsley Street ATM,2011-02-25,70,200500,Friday,W,
Georgia Street ATM,2011-02-26,23,119600,Saturday,H,
Main Street ATM,2011-02-26,169,470600,Saturday,H,
Genesee Street ATM,2011-02-26,132,608300,Saturday,H,
Hollywood Aveneue ATM,2011-02-26,206,780100,Saturday,H,
Kingsley Street ATM,2011-02-26,91,375800,Saturday,H,
Georgia Street ATM,2011-02-27,15,18000,Sunday,H,
Main Street ATM,2011-02-27,7,8100,Sunday,H,
Genesee Street ATM,2011-02-27,91,300000,Sunday,H,
Hollywood Aveneue ATM,2011-02-27,76,191700,Sunday,H,
Kingsley Street ATM,2011-02-27,67,283700,Sunday,H,
Georgia Street ATM,2011-02-28,39,149000,Monday,W,
Main Street ATM,2011-02-28,157,572800,Monday,W,
Genesee Street ATM,2011-02-28,105,354200,Monday,W,
Hollywood Aveneue ATM,2011-02-28,229,960900,Monday,W,
Kingsley Street ATM,2011-02-28,112,398900,Monday,W,
Georgia Street ATM,2011-03-01,29,105800,Tuesday,W,
Main Street ATM,2011-03-01,197,730000,Tuesday,W,
Genesee Street ATM,2011-03-01,119,519100,Tuesday,W,
Hollywood Aveneue ATM,2011-03-01,223,1041900,Tuesday,W,
Kingsley Street ATM,2011-03-01,92,479800,Tuesday,W,
Georgia Street ATM,2011-03-02,37,143300,Wednesday,W,
Main Street ATM,2011-03-02,153,610800,Wednesday,W,
Genesee Street ATM,2011-03-02,116,616800,Wednesday,W,
Hollywood Aveneue ATM,2011-03-02,243,1043200,Wednesday,W,
Kingsley Street ATM,2011-03-02,118,638200,Wednesday,W,
Georgia Street ATM,2011-03-03,29,109100,Thursday,W,
Main Street ATM,2011-03-03,212,766800,Thursday,W,
Genesee Street ATM,2011-03-03,66,342800,Thursday,W,
Hollywood Aveneue ATM,2011-03-03,242,1043500,Thursday,W,
Kingsley Street ATM,2011-03-03,94,405100,Thursday,W,
Georgia Street ATM,2011-03-04,41,167100,Friday,W,
Main Street ATM,2011-03-04,203,738900,Friday,W,
Genesee Street ATM,2011-03-04,108,433000,Friday,W,
Hollywood Aveneue ATM,2011-03-04,203,718600,Friday,W,
Kingsley Street ATM,2011-03-04,88,423900,Friday,W,
Georgia Street ATM,2011-03-05,39,116000,Saturday,H,
Main Street ATM,2011-03-05,254,1005600,Saturday,H,
Genesee Street ATM,2011-03-05,118,585800,Saturday,H,
Hollywood Aveneue ATM,2011-03-05,254,751600,Saturday,H,
Kingsley Street ATM,2011-03-05,117,582300,Saturday,H,
Georgia Street ATM,2011-03-06,42,110200,Sunday,H,
Main Street ATM,2011-03-06,213,668600,Sunday,H,
Genesee Street ATM,2011-03-06,107,428600,Sunday,H,
Hollywood Aveneue ATM,2011-03-06,172,637800,Sunday,H,
Kingsley Street ATM,2011-03-06,76,333400,Sunday,H,
Georgia Street ATM,2011-03-07,28,111300,Monday,W,
Main Street ATM,2011-03-07,194,644900,Monday,W,
Genesee Street ATM,2011-03-07,104,409800,Monday,W,
Hollywood Aveneue ATM,2011-03-07,229,667100,Monday,W,
Kingsley Street ATM,2011-03-07,74,231800,Monday,W,
Georgia Street ATM,2011-03-08,45,134400,Tuesday,W,
Main Street ATM,2011-03-08,218,950400,Tuesday,W,
Genesee Street ATM,2011-03-08,160,670700,Tuesday,W,
Hollywood Aveneue ATM,2011-03-08,220,813100,Tuesday,W,
Kingsley Street ATM,2011-03-08,91,323000,Tuesday,W,
Georgia Street ATM,2011-03-09,32,173100,Wednesday,W,
Main Street ATM,2011-03-09,197,620900,Wednesday,W,
Genesee Street ATM,2011-03-09,127,641900,Wednesday,W,
Hollywood Aveneue ATM,2011-03-09,286,1375800,Wednesday,W,
Kingsley Street ATM,2011-03-09,109,450700,Wednesday,W,
Georgia Street ATM,2011-03-10,25,127600,Thursday,W,
Main Street ATM,2011-03-10,132,529900,Thursday,W,
Genesee Street ATM,2011-03-10,113,372600,Thursday,W,
Hollywood Aveneue ATM,2011-03-10,205,759900,Thursday,W,
Kingsley Street ATM,2011-03-10,93,385100,Thursday,W,
Georgia Street ATM,2011-03-11,27,110200,Friday,W,
Main Street ATM,2011-03-11,146,441100,Friday,W,
Genesee Street ATM,2011-03-11,75,299400,Friday,W,
Hollywood Aveneue ATM,2011-03-11,180,514400,Friday,W,
Kingsley Street ATM,2011-03-11,77,312900,Friday,W,
Georgia Street ATM,2011-03-12,30,82400,Saturday,H,
Main Street ATM,2011-03-12,156,502900,Saturday,H,
Genesee Street ATM,2011-03-12,132,634000,Saturday,H,
Hollywood Aveneue ATM,2011-03-12,196,583700,Saturday,H,
Kingsley Street ATM,2011-03-12,67,262300,Saturday,H,
Georgia Street ATM,2011-03-13,41,134700,Sunday,H,
Main Street ATM,2011-03-13,157,301800,Sunday,H,
Genesee Street ATM,2011-03-13,93,355700,Sunday,H,
Hollywood Aveneue ATM,2011-03-13,113,282000,Sunday,H,
Kingsley Street ATM,2011-03-13,52,153200,Sunday,H,
Georgia Street ATM,2011-03-14,25,76100,Monday,W,
Main Street ATM,2011-03-14,160,566800,Monday,W,
Genesee Street ATM,2011-03-14,100,474700,Monday,W,
Hollywood Aveneue ATM,2011-03-14,212,804300,Monday,W,
Kingsley Street ATM,2011-03-14,77,283200,Monday,W,
Georgia Street ATM,2011-03-15,33,111200,Tuesday,W,
Main Street ATM,2011-03-15,145,513000,Tuesday,W,
Genesee Street ATM,2011-03-15,94,514500,Tuesday,W,
Hollywood Aveneue ATM,2011-03-15,185,758300,Tuesday,W,
Kingsley Street ATM,2011-03-15,61,183900,Tuesday,W,
Georgia Street ATM,2011-03-16,38,131200,Wednesday,W,
Main Street ATM,2011-03-16,152,525600,Wednesday,W,
Genesee Street ATM,2011-03-16,95,437300,Wednesday,W,
Hollywood Aveneue ATM,2011-03-16,203,835800,Wednesday,W,
Kingsley Street ATM,2011-03-16,61,220200,Wednesday,W,
Georgia Street ATM,2011-03-17,23,76300,Thursday,W,
Main Street ATM,2011-03-17,124,395500,Thursday,W,
Genesee Street ATM,2011-03-17,92,380600,Thursday,W,
Hollywood Aveneue ATM,2011-03-17,171,579700,Thursday,W,
Kingsley Street ATM,2011-03-17,55,238800,Thursday,W,
Georgia Street ATM,2011-03-18,27,97400,Friday,W,
Main Street ATM,2011-03-18,183,533600,Friday,W,
Genesee Street ATM,2011-03-18,83,362900,Friday,W,
Hollywood Aveneue ATM,2011-03-18,170,670000,Friday,W,
Kingsley Street ATM,2011-03-18,74,290000,Friday,W,
Georgia Street ATM,2011-03-19,32,94300,Saturday,H,
Main Street ATM,2011-03-19,214,544000,Saturday,H,
Genesee Street ATM,2011-03-19,96,355400,Saturday,H,
Hollywood Aveneue ATM,2011-03-19,187,567600,Saturday,H,
Kingsley Street ATM,2011-03-19,92,345600,Saturday,H,
Georgia Street ATM,2011-03-20,6,9200,Sunday,H,
Main Street ATM,2011-03-20,142,395200,Sunday,H,
Genesee Street ATM,2011-03-20,92,300300,Sunday,H,
Hollywood Aveneue ATM,2011-03-20,111,278000,Sunday,H,
Kingsley Street ATM,2011-03-20,48,164400,Sunday,H,
Georgia Street ATM,2011-03-21,27,99400,Monday,W,
Main Street ATM,2011-03-21,138,336000,Monday,W,
Genesee Street ATM,2011-03-21,110,517800,Monday,W,
Hollywood Aveneue ATM,2011-03-21,219,725500,Monday,W,
Kingsley Street ATM,2011-03-21,60,287700,Monday,W,
Georgia Street ATM,2011-03-22,27,47600,Tuesday,W,
Main Street ATM,2011-03-22,145,288500,Tuesday,W,
Genesee Street ATM,2011-03-22,76,259400,Tuesday,W,
Hollywood Aveneue ATM,2011-03-22,205,747100,Tuesday,W,
Kingsley Street ATM,2011-03-22,69,250200,Tuesday,W,
Georgia Street ATM,2011-03-23,15,52800,Wednesday,W,
Main Street ATM,2011-03-23,154,465300,Wednesday,W,
Genesee Street ATM,2011-03-23,93,480300,Wednesday,W,
Hollywood Aveneue ATM,2011-03-23,210,798500,Wednesday,W,
Kingsley Street ATM,2011-03-23,55,237200,Wednesday,W,
Georgia Street ATM,2011-03-24,16,34000,Thursday,W,
Main Street ATM,2011-03-24,112,365900,Thursday,W,
Genesee Street ATM,2011-03-24,75,370400,Thursday,W,
Hollywood Aveneue ATM,2011-03-24,161,561300,Thursday,W,
Kingsley Street ATM,2011-03-24,61,304000,Thursday,W,
Georgia Street ATM,2011-03-25,26,37900,Friday,W,
Main Street ATM,2011-03-25,137,390200,Friday,W,
Genesee Street ATM,2011-03-25,56,231700,Friday,W,
Hollywood Aveneue ATM,2011-03-25,176,592900,Friday,W,
Kingsley Street ATM,2011-03-25,52,206500,Friday,W,
Georgia Street ATM,2011-03-26,17,41300,Saturday,H,
Main Street ATM,2011-03-26,120,320500,Saturday,H,
Genesee Street ATM,2011-03-26,94,448900,Saturday,H,
Hollywood Aveneue ATM,2011-03-26,205,812800,Saturday,H,
Kingsley Street ATM,2011-03-26,62,215100,Saturday,H,
Georgia Street ATM,2011-03-27,41,88800,Sunday,H,
Main Street ATM,2011-03-27,108,332700,Sunday,H,
Genesee Street ATM,2011-03-27,98,360300,Sunday,H,
Hollywood Aveneue ATM,2011-03-27,117,333100,Sunday,H,
Kingsley Street ATM,2011-03-27,58,286200,Sunday,H,
Georgia Street ATM,2011-03-28,32,144200,Monday,W,
Main Street ATM,2011-03-28,128,410200,Monday,W,
Genesee Street ATM,2011-03-28,132,493400,Monday,W,
Hollywood Aveneue ATM,2011-03-28,190,578100,Monday,W,
Kingsley Street ATM,2011-03-28,72,263600,Monday,W,
Georgia Street ATM,2011-03-29,30,108600,Tuesday,W,
Main Street ATM,2011-03-29,191,538800,Tuesday,W,
Genesee Street ATM,2011-03-29,117,523300,Tuesday,W,
Hollywood Aveneue ATM,2011-03-29,202,832200,Tuesday,W,
Kingsley Street ATM,2011-03-29,80,298000,Tuesday,W,
Georgia Street ATM,2011-03-30,32,110200,Wednesday,W,
Main Street ATM,2011-03-30,152,475100,Wednesday,W,
Genesee Street ATM,2011-03-30,136,627600,Wednesday,W,
Hollywood Aveneue ATM,2011-03-30,200,849400,Wednesday,W,
Kingsley Street ATM,2011-03-30,100,399600,Wednesday,W,
Georgia Street ATM,2011-03-31,39,131800,Thursday,W,
Main Street ATM,2011-03-31,159,456500,Thursday,W,
Genesee Street ATM,2011-03-31,127,629200,Thursday,W,
Hollywood Aveneue ATM,2011-03-31,225,962300,Thursday,W,
Kingsley Street ATM,2011-03-31,96,514200,Thursday,W,
Georgia Street ATM,2011-04-01,43,134700,Friday,W,
Main Street ATM,2011-04-01,142,464800,Friday,W,
Genesee Street ATM,2011-04-01,96,480700,Friday,W,
